"First Name","Last Name","Email","grade1","grade2","grade3"
"Maximilian","Clark","m.clark@randatmail.com","94","42","23"
"Edgar","Williams","e.williams@randatmail.com","43","60","79"
"Samantha","Kelly","s.kelly@randatmail.com","96","20","06"
"Charlotte","Craig","c.craig@randatmail.com","69","06","58"
"Anna","Bennett","a.bennett@randatmail.com","68","58","66"
"Grace","Robinson","g.robinson@randatmail.com","54","19","89"
"Rosie","Douglas","r.douglas@randatmail.com","23","26","90"
"Aida","Scott","a.scott@randatmail.com","78","29","10"
"Heather","Lloyd","h.lloyd@randatmail.com","21","78","88"
"Preston","Higgins","p.higgins@randatmail.com","88","30","92"
"Dainton","Hamilton","d.hamilton@randatmail.com","69","73","23"
"Antony","Stewart","a.stewart@randatmail.com","29","69","62"
"Owen","Thomas","o.thomas@randatmail.com","99","88","43"
"Andrew","Hunt","a.hunt@randatmail.com","76","98","31"
"Briony","Riley","b.riley@randatmail.com","43","06","44"
"Anna","Moore","a.moore@randatmail.com","64","26","78"
"Roland","Murphy","r.murphy@randatmail.com","81","68","19"
"Lily","Davis","l.davis@randatmail.com","63","55","65"
"Martin","Wright","m.wright@randatmail.com","40","60","45"
"Reid","Ferguson","r.ferguson@randatmail.com","31","86","18"
"Brad","Scott","b.scott@randatmail.com","97","47","99"
"Chelsea","Baker","c.baker@randatmail.com","97","75","56"
"Lucia","Walker","l.walker@randatmail.com","09","33","60"
"Alexander","Ferguson","a.ferguson@randatmail.com","56","42","80"
"Daryl","Reed","d.reed@randatmail.com","23","40","37"
"Jasmine","Casey","j.casey@randatmail.com","14","28","35"
"Gianna","Gibson","g.gibson@randatmail.com","41","64","69"
"Sofia","Tucker","s.tucker@randatmail.com","05","76","90"
"Victoria","Johnston","v.johnston@randatmail.com","11","13","47"
"Savana","Rogers","s.rogers@randatmail.com","16","42","68"
"Miller","Hall","m.hall@randatmail.com","78","35","52"
"Adelaide","Elliott","a.elliott@randatmail.com","95","78","47"
"Stella","Armstrong","s.armstrong@randatmail.com","83","59","79"
"Alisa","Harrison","a.harrison@randatmail.com","36","29","80"
"John","Howard","j.howard@randatmail.com","92","26","53"
"Hailey","Foster","h.foster@randatmail.com","57","42","55"
"Nicholas","Hunt","n.hunt@randatmail.com","67","61","34"
"Cherry","Harper","c.harper@randatmail.com","22","74","31"
"Joyce","Thompson","j.thompson@randatmail.com","67","05","49"
"Eric","Cole","e.cole@randatmail.com","62","37","04"
"Melanie","Ferguson","m.ferguson@randatmail.com","87","92","69"
"Eric","Farrell","e.farrell@randatmail.com","50","59","47"
"Preston","Smith","p.smith@randatmail.com","09","36","95"
"Alexander","Moore","a.moore@randatmail.com","53","46","52"
"Aldus","Barnes","a.barnes@randatmail.com","80","06","88"
"Heather","Henderson","h.henderson@randatmail.com","33","39","50"
"Byron","Douglas","b.douglas@randatmail.com","17","93","15"
"Nicholas","Foster","n.foster@randatmail.com","48","80","07"
"Paige","Russell","p.russell@randatmail.com","59","89","54"
"Lenny","Edwards","l.edwards@randatmail.com","73","16","59"
"Brianna","Scott","b.scott@randatmail.com","02","33","64"
"Daisy","Murray","d.murray@randatmail.com","52","05","32"
"Edwin","Edwards","e.edwards@randatmail.com","59","84","89"
"Jasmine","Smith","j.smith@randatmail.com","13","34","30"
